tfopwg_disp,,ra,,dec,pl_orbper,,,,pl_trandurh,,,,pl_trandep,,,,pl_rade,,,,pl_insol,,,,pl_eqt,,,,st_teff,,,,st_rad
CANDIDATE,,134.722645,,-13.312579,6.203496,,,,5.715,,,,810,,,,9.93735,,,,375.554,,,,1226,,,,4859,,,,3.98
FALSE POSITIVE,,323.548627,,50.481445,2.65646,,,,2.475,,,,773.369,,,,12.1711,,,,948.066,,,,1545,,,,6135.4,,,,3.98
CANDIDATE,,128.181355,,-58.575511,2.7435213,,,,1.8047048,,,,1518.901285,,,,22.0496668,,,,22630.15531,,,,3128.179266,,,,7896.3,,,,3.9611499
FALSE POSITIVE,,21.736201,,49.388653,1.6256942,,,,1.988,,,,1720,,,,32.1007,,,,16378,,,,3151,,,,6628,,,,3.96
CANDIDATE,,245.224446,,-38.690224,3.1739329,,,,1.192,,,,1590,,,,15.5264,,,,68.2123,,,,800,,,,4999,,,,3.95
FALSE POSITIVE,,339.14435,,58.276061,2.1575124,,,,2.236,,,,550,,,,11.8527,,,,4213.12,,,,2244,,,,8326,,,,3.87
FALSE POSITIVE,,5.117344,,63.031396,5.8423636,,,,2.416,,,,2280,,,,18.7395,,,,716.73,,,,1441,,,,8648,,,,3.85
FALSE POSITIVE,,316.446344,,46.845151,1.41072,,,,2.623,,,,500,,,,8.4993,,,,2001.09,,,,1863,,,,5197,,,,3.84
FALSE POSITIVE,,96.793934,,-4.7801,4.3433389,,,,4.514,,,,1100,,,,24.4433,,,,60347.5,,,,4366,,,,9900,,,,3.83
CANDIDATE,,310.911906,,19.727938,6.25656,,,,3.509,,,,875,,,,11.4949,,,,1247.98,,,,1655,,,,5608,,,,3.81
FALSE POSITIVE,,116.813442,,-69.030386,0.6680065,,,,0.835,,,,550,,,,15.4569,,,,7749.15,,,,2613,,,,5159,,,,3.77
CANDIDATE,,154.896239,,-57.071089,5.7881587,,,,6.879,,,,1372,,,,11.6578,,,,1170.98,,,,1629,,,,5668,,,,3.74
CANDIDATE,,254.588507,,45.936445,18.6016754,,,,2.3690896,,,,559.9932489,,,,9.1300283,,,,845.8744041,,,,1375.454475,,,,6175,,,,3.7007
FALSE POSITIVE,,78.778396,,-15.100464,1.17409,,,,1.701,,,,3680,,,,49.6799,,,,34547.8,,,,3798,,,,8242,,,,3.67
FALSE POSITIVE,,351.648417,,64.304699,1.36991,,,,4.156,,,,1170,,,,11.8886,,,,18625.3,,,,3254,,,,7339.8,,,,3.64
FALSE POSITIVE,,56.222542,,45.507188,1.9734615,,,,3.69,,,,1295,,,,16.6678,,,,17275.6,,,,3193,,,,7962.9,,,,3.62
FALSE POSITIVE,,63.811095,,14.944839,6.0588453,,,,4.084,,,,2740,,,,35.2541,,,,4249.82,,,,2249,,,,7011,,,,3.6
CANDIDATE,,313.317214,,58.094593,2.5266409,,,,1.502,,,,2690,,,,18.3972,,,,761.094,,,,1463,,,,7233,,,,3.6
FALSE POSITIVE,,144.341393,,68.458705,13.0727479,,,,3.044,,,,4080,,,,35.7944,,,,221.343,,,,1074,,,,5709.8,,,,3.59
FALSE POSITIVE,,294.487932,,46.002151,0.476873,,,,1.135,,,,1930,,,,16.2032,,,,5402.97,,,,2388,,,,5877,,,,3.57
FALSE POSITIVE,,103.00276,,-18.95443,2.97638,,,,3.212,,,,795.842,,,,11.0372,,,,2695.88,,,,2007,,,,6492.5,,,,3.56
FALSE POSITIVE,,12.216148,,59.386718,2.57134,,,,3.824,,,,920,,,,10.7406,,,,5344.87,,,,2382,,,,7125,,,,3.56
FALSE POSITIVE,,316.813885,,40.167172,2.99041,,,,3.952,,,,1290,,,,24.2511,,,,54264.3,,,,4252,,,,8542,,,,3.56
CANDIDATE,,57.561241,,50.620837,3.3906311,,,,2.344,,,,720,,,,8.3102,,,,1156.25,,,,1624,,,,7373.8,,,,3.54
CANDIDATE,,103.357151,,7.266611,4.1554362,,,,6.088,,,,1020,,,,11.1924,,,,2704.62,,,,2009,,,,6352,,,,3.53
CANDIDATE,,80.508824,,-25.722355,1.4118418,,,,2.702,,,,520,,,,8.14924,,,,11077.2,,,,2858,,,,7839.6,,,,3.52
FALSE POSITIVE,,291.469121,,61.776068,9.6926509,,,,2.819,,,,1393,,,,13.5133,,,,198.127,,,,1045,,,,6012,,,,3.51
CANDIDATE,,141.975215,,-61.33004,0.758082,,,,1.8184632,,,,583.93181,,,,10.1273702,,,,216218.1005,,,,5499.747633,,,,9917,,,,3.5086601
CANDIDATE,,101.408331,,0.668553,5.3376282,,,,2.143,,,,2060,,,,16.1323,,,,63.1216,,,,785,,,,4825,,,,3.5
CANDIDATE,,79.844207,,3.122675,4.278752,,,,4.11,,,,220,,,,5.33342,,,,479.761,,,,1303,,,,4971,,,,3.5
FALSE POSITIVE,,300.805115,,52.040842,1.8296155,,,,2.166,,,,1406,,,,29.3616,,,,32867,,,,3751,,,,7875,,,,3.5
CANDIDATE,,54.53824,,40.475552,1.2205315,,,,1.867,,,,3898,,,,43.2978,,,,38806.5,,,,3910,,,,8273,,,,3.49
CANDIDATE,,193.260548,,-44.09936,41.4856125,,,,6.6899368,,,,959.7522291,,,,12.5121956,,,,271.196017,,,,1035.00054,,,,6354,,,,3.4868701
CANDIDATE,,346.90982,,56.694513,5.30329,,,,3.707,,,,1200,,,,11.7443,,,,473.142,,,,1299,,,,6054.7,,,,3.48
CANDIDATE,,136.653301,,-50.48045,2.3018922,,,,3.706,,,,1260,,,,12.146,,,,4411.81,,,,2270,,,,6919,,,,3.45
CANDIDATE,,288.911772,,-31.790813,11.1296441,,,,7.0473822,,,,951.6169809,,,,12.8402271,,,,1255.681716,,,,1518.237249,,,,5785,,,,3.4475601
FALSE POSITIVE,,168.212865,,-58.942432,5.1681189,,,,3.736,,,,1759,,,,13.3663,,,,1947.87,,,,1850,,,,8254,,,,3.44
